Unicode Code Point,Character,Description
0x3b19,㬙,CJK UNIFIED IDEOGRAPH-3B19
0x3b1a,㬚,CJK UNIFIED IDEOGRAPH-3B1A
0x3b1c,㬜,CJK UNIFIED IDEOGRAPH-3B1C
0x3b22,㬢,CJK UNIFIED IDEOGRAPH-3B22
0x3b2b,㬫,CJK UNIFIED IDEOGRAPH-3B2B
0x3b39,㬹,CJK UNIFIED IDEOGRAPH-3B39
0x3b42,㭂,CJK UNIFIED IDEOGRAPH-3B42
0x3b58,㭘,CJK UNIFIED IDEOGRAPH-3B58
0x3b60,㭠,CJK UNIFIED IDEOGRAPH-3B60
0x3b6d,㭭,CJK UNIFIED IDEOGRAPH-3B6D
0x3b71,㭱,CJK UNIFIED IDEOGRAPH-3B71
0x3b72,㭲,CJK UNIFIED IDEOGRAPH-3B72
0x3b77,㭷,CJK UNIFIED IDEOGRAPH-3B77
0x3b7b,㭻,CJK UNIFIED IDEOGRAPH-3B7B
0x3b7c,㭼,CJK UNIFIED IDEOGRAPH-3B7C
0x3b80,㮀,CJK UNIFIED IDEOGRAPH-3B80
0x3b87,㮇,CJK UNIFIED IDEOGRAPH-3B87
0x3b88,㮈,CJK UNIFIED IDEOGRAPH-3B88
0x3b8d,㮍,CJK UNIFIED IDEOGRAPH-3B8D
0x3b95,㮕,CJK UNIFIED IDEOGRAPH-3B95
0x3b96,㮖,CJK UNIFIED IDEOGRAPH-3B96
0x3b99,㮙,CJK UNIFIED IDEOGRAPH-3B99
0x3ba1,㮡,CJK UNIFIED IDEOGRAPH-3BA1
0x3ba4,㮤,CJK UNIFIED IDEOGRAPH-3BA4
0x3bb6,㮶,CJK UNIFIED IDEOGRAPH-3BB6
0x3bbc,㮼,CJK UNIFIED IDEOGRAPH-3BBC
0x3bbe,㮾,CJK UNIFIED IDEOGRAPH-3BBE
0x3bc2,㯂,CJK UNIFIED IDEOGRAPH-3BC2
0x3bc3,㯃,CJK UNIFIED IDEOGRAPH-3BC3
0x3bc4,㯄,CJK UNIFIED IDEOGRAPH-3BC4
0x3bcd,㯍,CJK UNIFIED IDEOGRAPH-3BCD
0x3bd7,㯗,CJK UNIFIED IDEOGRAPH-3BD7
0x3bdd,㯝,CJK UNIFIED IDEOGRAPH-3BDD
0x3bec,㯬,CJK UNIFIED IDEOGRAPH-3BEC
0x3bf0,㯰,CJK UNIFIED IDEOGRAPH-3BF0
0x3bf2,㯲,CJK UNIFIED IDEOGRAPH-3BF2
0x3bf3,㯳,CJK UNIFIED IDEOGRAPH-3BF3
0x3bf4,㯴,CJK UNIFIED IDEOGRAPH-3BF4
0x3c0d,㰍,CJK UNIFIED IDEOGRAPH-3C0D
0x3c0f,㰏,CJK UNIFIED IDEOGRAPH-3C0F
0x3c11,㰑,CJK UNIFIED IDEOGRAPH-3C11
0x3c15,㰕,CJK UNIFIED IDEOGRAPH-3C15
0x3c18,㰘,CJK UNIFIED IDEOGRAPH-3C18
0x3c26,㰦,CJK UNIFIED IDEOGRAPH-3C26
0x3c54,㱔,CJK UNIFIED IDEOGRAPH-3C54
0x3c8b,㲋,CJK UNIFIED IDEOGRAPH-3C8B
0x3cc3,㳃,CJK UNIFIED IDEOGRAPH-3CC3
0x3ccb,㳋,CJK UNIFIED IDEOGRAPH-3CCB
0x3ccd,㳍,CJK UNIFIED IDEOGRAPH-3CCD
0x3cd1,㳑,CJK UNIFIED IDEOGRAPH-3CD1
0x3cd2,㳒,CJK UNIFIED IDEOGRAPH-3CD2
0x3cd6,㳖,CJK UNIFIED IDEOGRAPH-3CD6
0x3cdc,㳜,CJK UNIFIED IDEOGRAPH-3CDC
0x3ceb,㳫,CJK UNIFIED IDEOGRAPH-3CEB
0x3cef,㳯,CJK UNIFIED IDEOGRAPH-3CEF
0x3d11,㴑,CJK UNIFIED IDEOGRAPH-3D11
0x3d12,㴒,CJK UNIFIED IDEOGRAPH-3D12
0x3d13,㴓,CJK UNIFIED IDEOGRAPH-3D13
0x3d1d,㴝,CJK UNIFIED IDEOGRAPH-3D1D
0x3d1e,㴞,CJK UNIFIED IDEOGRAPH-3D1E
0x3d32,㴲,CJK UNIFIED IDEOGRAPH-3D32
0x3d3b,㴻,CJK UNIFIED IDEOGRAPH-3D3B
0x3d46,㵆,CJK UNIFIED IDEOGRAPH-3D46
0x3d4c,㵌,CJK UNIFIED IDEOGRAPH-3D4C
0x3d4e,㵎,CJK UNIFIED IDEOGRAPH-3D4E
0x3d51,㵑,CJK UNIFIED IDEOGRAPH-3D51
0x3d5f,㵟,CJK UNIFIED IDEOGRAPH-3D5F
0x3d62,㵢,CJK UNIFIED IDEOGRAPH-3D62
0x3d64,㵤,CJK UNIFIED IDEOGRAPH-3D64
0x3d69,㵩,CJK UNIFIED IDEOGRAPH-3D69
0x3d6a,㵪,CJK UNIFIED IDEOGRAPH-3D6A
0x3d6f,㵯,CJK UNIFIED IDEOGRAPH-3D6F
0x3d75,㵵,CJK UNIFIED IDEOGRAPH-3D75
0x3d7d,㵽,CJK UNIFIED IDEOGRAPH-3D7D
0x3d85,㶅,CJK UNIFIED IDEOGRAPH-3D85
0x3d88,㶈,CJK UNIFIED IDEOGRAPH-3D88
0x3d8a,㶊,CJK UNIFIED IDEOGRAPH-3D8A
0x3d8f,㶏,CJK UNIFIED IDEOGRAPH-3D8F
0x3d91,㶑,CJK UNIFIED IDEOGRAPH-3D91
0x3d9a,㶚,CJK UNIFIED IDEOGRAPH-3D9A
0x3da5,㶥,CJK UNIFIED IDEOGRAPH-3DA5
0x3dad,㶭,CJK UNIFIED IDEOGRAPH-3DAD
0x3db4,㶴,CJK UNIFIED IDEOGRAPH-3DB4
0x3dbf,㶿,CJK UNIFIED IDEOGRAPH-3DBF
0x3dc0,㷀,CJK UNIFIED IDEOGRAPH-3DC0
0x3dc6,㷆,CJK UNIFIED IDEOGRAPH-3DC6
0x3dc7,㷇,CJK UNIFIED IDEOGRAPH-3DC7
0x3dc9,㷉,CJK UNIFIED IDEOGRAPH-3DC9
0x3dcc,㷌,CJK UNIFIED IDEOGRAPH-3DCC
0x3dcd,㷍,CJK UNIFIED IDEOGRAPH-3DCD
0x3dd3,㷓,CJK UNIFIED IDEOGRAPH-3DD3
0x3dd4,㷔,CJK UNIFIED IDEOGRAPH-3DD4
0x3ddb,㷛,CJK UNIFIED IDEOGRAPH-3DDB
0x3de7,㷧,CJK UNIFIED IDEOGRAPH-3DE7
0x3de8,㷨,CJK UNIFIED IDEOGRAPH-3DE8
0x3deb,㷫,CJK UNIFIED IDEOGRAPH-3DEB
0x3df3,㷳,CJK UNIFIED IDEOGRAPH-3DF3
0x3df4,㷴,CJK UNIFIED IDEOGRAPH-3DF4
0x3df7,㷷,CJK UNIFIED IDEOGRAPH-3DF7
0x3dfc,㷼,CJK UNIFIED IDEOGRAPH-3DFC
0x3dfd,㷽,CJK UNIFIED IDEOGRAPH-3DFD
0x3e05,㸅,CJK UNIFIED IDEOGRAPH-3E05
0x3e06,㸆,CJK UNIFIED IDEOGRAPH-3E06
0x3e3f,㸿,CJK UNIFIED IDEOGRAPH-3E3F
0x3e40,㹀,CJK UNIFIED IDEOGRAPH-3E40
0x3e43,㹃,CJK UNIFIED IDEOGRAPH-3E43
0x3e48,㹈,CJK UNIFIED IDEOGRAPH-3E48
0x3e55,㹕,CJK UNIFIED IDEOGRAPH-3E55
0x3e60,㹠,CJK UNIFIED IDEOGRAPH-3E60
0x3e66,㹦,CJK UNIFIED IDEOGRAPH-3E66
0x3e68,㹨,CJK UNIFIED IDEOGRAPH-3E68
0x3e74,㹴,CJK UNIFIED IDEOGRAPH-3E74
0x3e83,㺃,CJK UNIFIED IDEOGRAPH-3E83
0x3e94,㺔,CJK UNIFIED IDEOGRAPH-3E94
0x3ea8,㺨,CJK UNIFIED IDEOGRAPH-3EA8
0x3ea9,㺩,CJK UNIFIED IDEOGRAPH-3EA9
0x3eaa,㺪,CJK UNIFIED IDEOGRAPH-3EAA
0x3ead,㺭,CJK UNIFIED IDEOGRAPH-3EAD
0x3eb1,㺱,CJK UNIFIED IDEOGRAPH-3EB1
0x3eb8,㺸,CJK UNIFIED IDEOGRAPH-3EB8
0x3ebf,㺿,CJK UNIFIED IDEOGRAPH-3EBF
0x3ec2,㻂,CJK UNIFIED IDEOGRAPH-3EC2
0x3ec7,㻇,CJK UNIFIED IDEOGRAPH-3EC7
0x3eca,㻊,CJK UNIFIED IDEOGRAPH-3ECA
0x3ecc,㻌,CJK UNIFIED IDEOGRAPH-3ECC
0x3ed0,㻐,CJK UNIFIED IDEOGRAPH-3ED0
0x3ed1,㻑,CJK UNIFIED IDEOGRAPH-3ED1
0x3ed6,㻖,CJK UNIFIED IDEOGRAPH-3ED6
0x3ed7,㻗,CJK UNIFIED IDEOGRAPH-3ED7
0x3eda,㻚,CJK UNIFIED IDEOGRAPH-3EDA
0x3edb,㻛,CJK UNIFIED IDEOGRAPH-3EDB
0x3ede,㻞,CJK UNIFIED IDEOGRAPH-3EDE
0x3ee1,㻡,CJK UNIFIED IDEOGRAPH-3EE1
0x3ee2,㻢,CJK UNIFIED IDEOGRAPH-3EE2
0x3ee7,㻧,CJK UNIFIED IDEOGRAPH-3EE7
0x3ee9,㻩,CJK UNIFIED IDEOGRAPH-3EE9
0x3eeb,㻫,CJK UNIFIED IDEOGRAPH-3EEB
0x3ef0,㻰,CJK UNIFIED IDEOGRAPH-3EF0
0x3ef3,㻳,CJK UNIFIED IDEOGRAPH-3EF3
0x3ef4,㻴,CJK UNIFIED IDEOGRAPH-3EF4
0x3efa,㻺,CJK UNIFIED IDEOGRAPH-3EFA
0x3efc,㻼,CJK UNIFIED IDEOGRAPH-3EFC
0x3eff,㻿,CJK UNIFIED IDEOGRAPH-3EFF
0x3f00,㼀,CJK UNIFIED IDEOGRAPH-3F00
0x3f04,㼄,CJK UNIFIED IDEOGRAPH-3F04
0x3f06,㼆,CJK UNIFIED IDEOGRAPH-3F06
0x3f07,㼇,CJK UNIFIED IDEOGRAPH-3F07
0x3f08,㼈,CJK UNIFIED IDEOGRAPH-3F08
0x3f0e,㼎,CJK UNIFIED IDEOGRAPH-3F0E
0x3f53,㽓,CJK UNIFIED IDEOGRAPH-3F53
0x3f57,㽗,CJK UNIFIED IDEOGRAPH-3F57
0x3f58,㽘,CJK UNIFIED IDEOGRAPH-3F58
0x3f59,㽙,CJK UNIFIED IDEOGRAPH-3F59
0x3f63,㽣,CJK UNIFIED IDEOGRAPH-3F63
0x3f72,㽲,CJK UNIFIED IDEOGRAPH-3F72
0x3f75,㽵,CJK UNIFIED IDEOGRAPH-3F75
0x3f77,㽷,CJK UNIFIED IDEOGRAPH-3F77
0x3f7c,㽼,CJK UNIFIED IDEOGRAPH-3F7C
0x3f93,㾓,CJK UNIFIED IDEOGRAPH-3F93
0x3fae,㾮,CJK UNIFIED IDEOGRAPH-3FAE
0x3fc0,㿀,CJK UNIFIED IDEOGRAPH-3FC0
0x3fc8,㿈,CJK UNIFIED IDEOGRAPH-3FC8
0x3fc9,㿉,CJK UNIFIED IDEOGRAPH-3FC9
0x3fd7,㿗,CJK UNIFIED IDEOGRAPH-3FD7
0x3fdc,㿜,CJK UNIFIED IDEOGRAPH-3FDC
0x3fe5,㿥,CJK UNIFIED IDEOGRAPH-3FE5
0x3fed,㿭,CJK UNIFIED IDEOGRAPH-3FED
0x3ff9,㿹,CJK UNIFIED IDEOGRAPH-3FF9
0x3ffa,㿺,CJK UNIFIED IDEOGRAPH-3FFA
0x4004,䀄,CJK UNIFIED IDEOGRAPH-4004
0x4009,䀉,CJK UNIFIED IDEOGRAPH-4009
0x401d,䀝,CJK UNIFIED IDEOGRAPH-401D
0x4039,䀹,CJK UNIFIED IDEOGRAPH-4039
0x4045,䁅,CJK UNIFIED IDEOGRAPH-4045
0x4053,䁓,CJK UNIFIED IDEOGRAPH-4053
0x4057,䁗,CJK UNIFIED IDEOGRAPH-4057
0x4058,䁘,CJK UNIFIED IDEOGRAPH-4058
0x4062,䁢,CJK UNIFIED IDEOGRAPH-4062
0x4065,䁥,CJK UNIFIED IDEOGRAPH-4065
0x406a,䁪,CJK UNIFIED IDEOGRAPH-406A
0x406f,䁯,CJK UNIFIED IDEOGRAPH-406F
0x4071,䁱,CJK UNIFIED IDEOGRAPH-4071
0x4093,䂓,CJK UNIFIED IDEOGRAPH-4093
0x40a8,䂨,CJK UNIFIED IDEOGRAPH-40A8
0x40bb,䂻,CJK UNIFIED IDEOGRAPH-40BB
0x40bf,䂿,CJK UNIFIED IDEOGRAPH-40BF
0x40c8,䃈,CJK UNIFIED IDEOGRAPH-40C8
0x40d8,䃘,CJK UNIFIED IDEOGRAPH-40D8
0x40df,䃟,CJK UNIFIED IDEOGRAPH-40DF
0x40f8,䃸,CJK UNIFIED IDEOGRAPH-40F8
0x40fa,䃺,CJK UNIFIED IDEOGRAPH-40FA
0x4102,䄂,CJK UNIFIED IDEOGRAPH-4102
0x4103,䄃,CJK UNIFIED IDEOGRAPH-4103
0x4104,䄄,CJK UNIFIED IDEOGRAPH-4104
0x4105,䄅,CJK UNIFIED IDEOGRAPH-4105
0x4109,䄉,CJK UNIFIED IDEOGRAPH-4109
0x410e,䄎,CJK UNIFIED IDEOGRAPH-410E
0x4132,䄲,CJK UNIFIED IDEOGRAPH-4132
0x4148,䅈,CJK UNIFIED IDEOGRAPH-4148
0x414f,䅏,CJK UNIFIED IDEOGRAPH-414F
0x4163,䅣,CJK UNIFIED IDEOGRAPH-4163
0x4167,䅧,CJK UNIFIED IDEOGRAPH-4167
0x416c,䅬,CJK UNIFIED IDEOGRAPH-416C
0x416e,䅮,CJK UNIFIED IDEOGRAPH-416E
0x417c,䅼,CJK UNIFIED IDEOGRAPH-417C
0x417f,䅿,CJK UNIFIED IDEOGRAPH-417F
0x4190,䆐,CJK UNIFIED IDEOGRAPH-4190
0x41b2,䆲,CJK UNIFIED IDEOGRAPH-41B2
0x41b4,䆴,CJK UNIFIED IDEOGRAPH-41B4
0x41bf,䆿,CJK UNIFIED IDEOGRAPH-41BF
0x41c4,䇄,CJK UNIFIED IDEOGRAPH-41C4
0x41ca,䇊,CJK UNIFIED IDEOGRAPH-41CA
0x41cf,䇏,CJK UNIFIED IDEOGRAPH-41CF
0x41db,䇛,CJK UNIFIED IDEOGRAPH-41DB
0x41e6,䇦,CJK UNIFIED IDEOGRAPH-41E6
0x41ed,䇭,CJK UNIFIED IDEOGRAPH-41ED
0x41ee,䇮,CJK UNIFIED IDEOGRAPH-41EE
0x41ef,䇯,CJK UNIFIED IDEOGRAPH-41EF
0x41f3,䇳,CJK UNIFIED IDEOGRAPH-41F3
0x41f9,䇹,CJK UNIFIED IDEOGRAPH-41F9
0x4207,䈇,CJK UNIFIED IDEOGRAPH-4207
0x420e,䈎,CJK UNIFIED IDEOGRAPH-420E
0x4211,䈑,CJK UNIFIED IDEOGRAPH-4211
0x4223,䈣,CJK UNIFIED IDEOGRAPH-4223
0x4240,䉀,CJK UNIFIED IDEOGRAPH-4240
0x4260,䉠,CJK UNIFIED IDEOGRAPH-4260
0x4264,䉤,CJK UNIFIED IDEOGRAPH-4264
0x426a,䉪,CJK UNIFIED IDEOGRAPH-426A
0x4276,䉶,CJK UNIFIED IDEOGRAPH-4276
0x427a,䉺,CJK UNIFIED IDEOGRAPH-427A
0x428c,䊌,CJK UNIFIED IDEOGRAPH-428C
0x4294,䊔,CJK UNIFIED IDEOGRAPH-4294
0x42a2,䊢,CJK UNIFIED IDEOGRAPH-42A2
0x42b5,䊵,CJK UNIFIED IDEOGRAPH-42B5
0x42b9,䊹,CJK UNIFIED IDEOGRAPH-42B9
0x42bc,䊼,CJK UNIFIED IDEOGRAPH-42BC
0x42c6,䋆,CJK UNIFIED IDEOGRAPH-42C6
0x42d6,䋖,CJK UNIFIED IDEOGRAPH-42D6
0x42dd,䋝,CJK UNIFIED IDEOGRAPH-42DD
0x42f4,䋴,CJK UNIFIED IDEOGRAPH-42F4
0x42fb,䋻,CJK UNIFIED IDEOGRAPH-42FB
0x42fc,䋼,CJK UNIFIED IDEOGRAPH-42FC
0x4302,䌂,CJK UNIFIED IDEOGRAPH-4302
0x432b,䌫,CJK UNIFIED IDEOGRAPH-432B
0x4343,䍃,CJK UNIFIED IDEOGRAPH-4343
0x436e,䍮,CJK UNIFIED IDEOGRAPH-436E
0x4397,䎗,CJK UNIFIED IDEOGRAPH-4397
0x439a,䎚,CJK UNIFIED IDEOGRAPH-439A
0x43ba,䎺,CJK UNIFIED IDEOGRAPH-43BA
0x43c1,䏁,CJK UNIFIED IDEOGRAPH-43C1
0x43d9,䏙,CJK UNIFIED IDEOGRAPH-43D9
0x43df,䏟,CJK UNIFIED IDEOGRAPH-43DF
0x43ed,䏭,CJK UNIFIED IDEOGRAPH-43ED
0x43ee,䏮,CJK UNIFIED IDEOGRAPH-43EE
0x43f0,䏰,CJK UNIFIED IDEOGRAPH-43F0
0x43f2,䏲,CJK UNIFIED IDEOGRAPH-43F2
0x4401,䐁,CJK UNIFIED IDEOGRAPH-4401
0x4402,䐂,CJK UNIFIED IDEOGRAPH-4402
0x4408,䐈,CJK UNIFIED IDEOGRAPH-4408
0x4413,䐓,CJK UNIFIED IDEOGRAPH-4413
0x4417,䐗,CJK UNIFIED IDEOGRAPH-4417
0x441c,䐜,CJK UNIFIED IDEOGRAPH-441C
0x4422,䐢,CJK UNIFIED IDEOGRAPH-4422
0x4425,䐥,CJK UNIFIED IDEOGRAPH-4425
0x442d,䐭,CJK UNIFIED IDEOGRAPH-442D
0x4453,䑓,CJK UNIFIED IDEOGRAPH-4453
0x445b,䑛,CJK UNIFIED IDEOGRAPH-445B
0x4476,䑶,CJK UNIFIED IDEOGRAPH-4476
0x447a,䑺,CJK UNIFIED IDEOGRAPH-447A
0x448f,䒏,CJK UNIFIED IDEOGRAPH-448F
0x4491,䒑,CJK UNIFIED IDEOGRAPH-4491
0x449f,䒟,CJK UNIFIED IDEOGRAPH-449F
0x44a0,䒠,CJK UNIFIED IDEOGRAPH-44A0
0x44a2,䒢,CJK UNIFIED IDEOGRAPH-44A2
0x44b0,䒰,CJK UNIFIED IDEOGRAPH-44B0
0x44b3,䒳,CJK UNIFIED IDEOGRAPH-44B3
0x44b7,䒷,CJK UNIFIED IDEOGRAPH-44B7
0x44bd,䒽,CJK UNIFIED IDEOGRAPH-44BD
0x44be,䒾,CJK UNIFIED IDEOGRAPH-44BE
0x44c0,䓀,CJK UNIFIED IDEOGRAPH-44C0
0x44c3,䓃,CJK UNIFIED IDEOGRAPH-44C3
0x44c5,䓅,CJK UNIFIED IDEOGRAPH-44C5
0x44ce,䓎,CJK UNIFIED IDEOGRAPH-44CE
0x44d4,䓔,CJK UNIFIED IDEOGRAPH-44D4
0x44dd,䓝,CJK UNIFIED IDEOGRAPH-44DD
0x44de,䓞,CJK UNIFIED IDEOGRAPH-44DE
0x44df,䓟,CJK UNIFIED IDEOGRAPH-44DF
0x44e4,䓤,CJK UNIFIED IDEOGRAPH-44E4
0x44e9,䓩,CJK UNIFIED IDEOGRAPH-44E9
0x44ea,䓪,CJK UNIFIED IDEOGRAPH-44EA
0x44eb,䓫,CJK UNIFIED IDEOGRAPH-44EB
0x44ec,䓬,CJK UNIFIED IDEOGRAPH-44EC
0x44f4,䓴,CJK UNIFIED IDEOGRAPH-44F4
0x4503,䔃,CJK UNIFIED IDEOGRAPH-4503
0x4504,䔄,CJK UNIFIED IDEOGRAPH-4504
0x4508,䔈,CJK UNIFIED IDEOGRAPH-4508
0x4509,䔉,CJK UNIFIED IDEOGRAPH-4509
0x450b,䔋,CJK UNIFIED IDEOGRAPH-450B
0x450d,䔍,CJK UNIFIED IDEOGRAPH-450D
0x4516,䔖,CJK UNIFIED IDEOGRAPH-4516
0x451b,䔛,CJK UNIFIED IDEOGRAPH-451B
0x451d,䔝,CJK UNIFIED IDEOGRAPH-451D
0x4525,䔥,CJK UNIFIED IDEOGRAPH-4525
0x4527,䔧,CJK UNIFIED IDEOGRAPH-4527
0x452e,䔮,CJK UNIFIED IDEOGRAPH-452E
0x4533,䔳,CJK UNIFIED IDEOGRAPH-4533
0x4536,䔶,CJK UNIFIED IDEOGRAPH-4536
0x453b,䔻,CJK UNIFIED IDEOGRAPH-453B
0x453d,䔽,CJK UNIFIED IDEOGRAPH-453D
0x453f,䔿,CJK UNIFIED IDEOGRAPH-453F
0x4543,䕃,CJK UNIFIED IDEOGRAPH-4543
0x4551,䕑,CJK UNIFIED IDEOGRAPH-4551
0x4552,䕒,CJK UNIFIED IDEOGRAPH-4552
0x4555,䕕,CJK UNIFIED IDEOGRAPH-4555
0x4558,䕘,CJK UNIFIED IDEOGRAPH-4558
0x455c,䕜,CJK UNIFIED IDEOGRAPH-455C
0x4561,䕡,CJK UNIFIED IDEOGRAPH-4561
0x4562,䕢,CJK UNIFIED IDEOGRAPH-4562
0x456a,䕪,CJK UNIFIED IDEOGRAPH-456A
0x456b,䕫,CJK UNIFIED IDEOGRAPH-456B
0x456d,䕭,CJK UNIFIED IDEOGRAPH-456D
0x4577,䕷,CJK UNIFIED IDEOGRAPH-4577
0x4578,䕸,CJK UNIFIED IDEOGRAPH-4578
0x4585,䖅,CJK UNIFIED IDEOGRAPH-4585
0x459d,䖝,CJK UNIFIED IDEOGRAPH-459D
0x45a6,䖦,CJK UNIFIED IDEOGRAPH-45A6
0x45b3,䖳,CJK UNIFIED IDEOGRAPH-45B3
0x45b8,䖸,CJK UNIFIED IDEOGRAPH-45B8
0x45da,䗚,CJK UNIFIED IDEOGRAPH-45DA
0x45e5,䗥,CJK UNIFIED IDEOGRAPH-45E5
0x45e9,䗩,CJK UNIFIED IDEOGRAPH-45E9
0x45ea,䗪,CJK UNIFIED IDEOGRAPH-45EA
0x4603,䘃,CJK UNIFIED IDEOGRAPH-4603
0x4606,䘆,CJK UNIFIED IDEOGRAPH-4606
0x460f,䘏,CJK UNIFIED IDEOGRAPH-460F
0x4615,䘕,CJK UNIFIED IDEOGRAPH-4615
0x4617,䘗,CJK UNIFIED IDEOGRAPH-4617
0x4641,䙁,CJK UNIFIED IDEOGRAPH-4641
0x465b,䙛,CJK UNIFIED IDEOGRAPH-465B
0x4665,䙥,CJK UNIFIED IDEOGRAPH-4665
0x467a,䙺,CJK UNIFIED IDEOGRAPH-467A
0x4680,䚀,CJK UNIFIED IDEOGRAPH-4680
0x46a1,䚡,CJK UNIFIED IDEOGRAPH-46A1
0x46af,䚯,CJK UNIFIED IDEOGRAPH-46AF
0x46bb,䚻,CJK UNIFIED IDEOGRAPH-46BB
0x46cf,䛏,CJK UNIFIED IDEOGRAPH-46CF
0x46d0,䛐,CJK UNIFIED IDEOGRAPH-46D0
0x46f5,䛵,CJK UNIFIED IDEOGRAPH-46F5
0x46f7,䛷,CJK UNIFIED IDEOGRAPH-46F7
0x470c,䜌,CJK UNIFIED IDEOGRAPH-470C
0x4713,䜓,CJK UNIFIED IDEOGRAPH-4713
0x4718,䜘,CJK UNIFIED IDEOGRAPH-4718
0x4736,䜶,CJK UNIFIED IDEOGRAPH-4736
0x4744,䝄,CJK UNIFIED IDEOGRAPH-4744
0x474e,䝎,CJK UNIFIED IDEOGRAPH-474E
0x474f,䝏,CJK UNIFIED IDEOGRAPH-474F
0x4764,䝤,CJK UNIFIED IDEOGRAPH-4764
0x477c,䝼,CJK UNIFIED IDEOGRAPH-477C
0x4798,䞘,CJK UNIFIED IDEOGRAPH-4798
0x47a6,䞦,CJK UNIFIED IDEOGRAPH-47A6
0x47b6,䞶,CJK UNIFIED IDEOGRAPH-47B6
0x47d5,䟕,CJK UNIFIED IDEOGRAPH-47D5
0x47ed,䟭,CJK UNIFIED IDEOGRAPH-47ED
0x47f4,䟴,CJK UNIFIED IDEOGRAPH-47F4
0x47fd,䟽,CJK UNIFIED IDEOGRAPH-47FD
0x4800,䠀,CJK UNIFIED IDEOGRAPH-4800
0x480b,䠋,CJK UNIFIED IDEOGRAPH-480B
0x4816,䠖,CJK UNIFIED IDEOGRAPH-4816
0x4837,䠷,CJK UNIFIED IDEOGRAPH-4837
0x4844,䡄,CJK UNIFIED IDEOGRAPH-4844
0x484e,䡎,CJK UNIFIED IDEOGRAPH-484E
0x485d,䡝,CJK UNIFIED IDEOGRAPH-485D
0x4871,䡱,CJK UNIFIED IDEOGRAPH-4871
0x489b,䢛,CJK UNIFIED IDEOGRAPH-489B
0x48ad,䢭,CJK UNIFIED IDEOGRAPH-48AD
0x48ae,䢮,CJK UNIFIED IDEOGRAPH-48AE
0x48b5,䢵,CJK UNIFIED IDEOGRAPH-48B5
0x48d0,䣐,CJK UNIFIED IDEOGRAPH-48D0
0x48dd,䣝,CJK UNIFIED IDEOGRAPH-48DD
0x48ed,䣭,CJK UNIFIED IDEOGRAPH-48ED
0x48f3,䣳,CJK UNIFIED IDEOGRAPH-48F3
0x48fa,䣺,CJK UNIFIED IDEOGRAPH-48FA
0x4906,䤆,CJK UNIFIED IDEOGRAPH-4906
0x4911,䤑,CJK UNIFIED IDEOGRAPH-4911
0x491e,䤞,CJK UNIFIED IDEOGRAPH-491E
0x4925,䤥,CJK UNIFIED IDEOGRAPH-4925
0x492a,䤪,CJK UNIFIED IDEOGRAPH-492A
0x492d,䤭,CJK UNIFIED IDEOGRAPH-492D
0x4935,䤵,CJK UNIFIED IDEOGRAPH-4935
0x493c,䤼,CJK UNIFIED IDEOGRAPH-493C
0x493e,䤾,CJK UNIFIED IDEOGRAPH-493E
0x4945,䥅,CJK UNIFIED IDEOGRAPH-4945
0x4951,䥑,CJK UNIFIED IDEOGRAPH-4951
0x4953,䥓,CJK UNIFIED IDEOGRAPH-4953
0x4965,䥥,CJK UNIFIED IDEOGRAPH-4965
0x496a,䥪,CJK UNIFIED IDEOGRAPH-496A
0x4972,䥲,CJK UNIFIED IDEOGRAPH-4972
0x4989,䦉,CJK UNIFIED IDEOGRAPH-4989
0x49a1,䦡,CJK UNIFIED IDEOGRAPH-49A1
0x49a7,䦧,CJK UNIFIED IDEOGRAPH-49A7
0x49b0,䦰,CJK UNIFIED IDEOGRAPH-49B0
0x49df,䧟,CJK UNIFIED IDEOGRAPH-49DF
0x49e5,䧥,CJK UNIFIED IDEOGRAPH-49E5
0x49e7,䧧,CJK UNIFIED IDEOGRAPH-49E7
0x49fa,䧺,CJK UNIFIED IDEOGRAPH-49FA
0x4a04,䨄,CJK UNIFIED IDEOGRAPH-4A04
0x4a0f,䨏,CJK UNIFIED IDEOGRAPH-4A0F
0x4a1d,䨝,CJK UNIFIED IDEOGRAPH-4A1D
0x4a24,䨤,CJK UNIFIED IDEOGRAPH-4A24
0x4a29,䨩,CJK UNIFIED IDEOGRAPH-4A29
0x4a35,䨵,CJK UNIFIED IDEOGRAPH-4A35
0x4a96,䪖,CJK UNIFIED IDEOGRAPH-4A96
0x4aa4,䪤,CJK UNIFIED IDEOGRAPH-4AA4
0x4ab4,䪴,CJK UNIFIED IDEOGRAPH-4AB4
0x4ab8,䪸,CJK UNIFIED IDEOGRAPH-4AB8
0x4abc,䪼,CJK UNIFIED IDEOGRAPH-4ABC
0x4ad1,䫑,CJK UNIFIED IDEOGRAPH-4AD1
0x4ae4,䫤,CJK UNIFIED IDEOGRAPH-4AE4
0x4aff,䫿,CJK UNIFIED IDEOGRAPH-4AFF
0x4b10,䬐,CJK UNIFIED IDEOGRAPH-4B10
0x4b19,䬙,CJK UNIFIED IDEOGRAPH-4B19
0x4b20,䬠,CJK UNIFIED IDEOGRAPH-4B20
0x4b2c,䬬,CJK UNIFIED IDEOGRAPH-4B2C
0x4b37,䬷,CJK UNIFIED IDEOGRAPH-4B37
0x4b3b,䬻,CJK UNIFIED IDEOGRAPH-4B3B
